channel,integral,time
5,260.5552,3787286263.8606067
4,1294.4113,3787286263.8702655
5,1172.9973,3787286263.8702655
5,992.03375,3787286263.87288
5,1366.1821,3787286263.87765
5,315.04608,3787286263.881968
5,920.7247,3787286263.8898463
4,796.627,3787286263.8904963
5,369.20062,3787286263.8954215
5,892.5262,3787286263.898535
5,230.78702,3787286263.899476
4,710.61053,3787286263.9007087
4,1189.8976,3787286263.904313
4,912.0751,3787286263.9102197
5,690.76416,3787286263.911127
4,1345.3469,3787286263.911127
5,1783.9456,3787286263.9115205
5,301.47943,3787286263.9165816
4,1453.1409,3787286263.9246407
5,218.56581,3787286263.933104
5,1358.1094,3787286263.9407444
4,825.78516,3787286263.944005
4,1156.4568,3787286263.947563
5,336.34912,3787286263.9538484
4,967.1111,3787286263.955226
4,528.8277,3787286263.9621043
5,387.30817,3787286263.9657235
4,1011.0305,3787286263.972065
5,1168.1761,3787286263.972065
4,663.41077,3787286263.974731
5,1217.7897,3787286263.9825835
5,1757.2047,3787286263.984308
5,402.27637,3787286263.9856963
5,259.60217,3787286263.986041
5,1372.4048,3787286263.986394
4,1042.6489,3787286263.9873548
5,1160.5519,3787286263.9873548
4,702.5009,3787286263.9903293
5,643.3369,3787286263.9944987
4,963.9219,3787286263.9950767
5,1182.7518,3787286263.9950767
4,1157.7324,3787286263.9975257
5,1990.3607,3787286264.0050926
5,1302.2731,3787286264.0077395
4,1536.515,3787286264.0098834
5,899.1974,3787286264.0114617
4,1191.811,3787286264.0128913
4,662.04395,3787286264.0154037
4,647.82935,3787286264.020334
5,597.19904,3787286264.0253973
4,1200.923,3787286264.0286293
5,237.79459,3787286264.0580153
4,1239.5575,3787286264.0625205
4,2252.5298,3787286264.065209
5,216.26733,3787286264.065209
5,2458.6348,3787286264.067144
5,579.4278,3787286264.06829
5,559.18994,3787286264.0715046
